Name,Address,Href,Description,Phone Number,Bare Metal,IaaS,Internet Exchange,Colocation_x,Products,Airplane,Building,Colocation_y,Power,Abbreviation,Summary,Country
VA1 Vancouver IBX Data Center,"4185 Still Creek Drive suite c 150, Burnaby, BC V5C 6C6, Canada",/megaport-4degres-colocation-montreal,"Megaport 4Degres Colocation - Montreal Data Center is located at 2900 Avenue Marie Curie, Montréal, Saint-Laurent, QC, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 50 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 877-857-4410,Inactive,Inactive,Inactive,Active,0 colocation products,254.77 miles to nearest airport,,,,[nan],[nan],Canada
QC1 Montreal I Data Center,"2900 Avenue Marie Curie, Saint-Laurent, QC H4S 2C2, Canada",/megaport-beanfield-suite-711-tor1,"Megaport Beanfield Suite 711 - TOR1 Data Center is located at 151 Front St W, Toronto, ON, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 98 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 877-857-4410,Inactive,Inactive,Inactive,Active,0 colocation products,223.7 miles to nearest airport,,,,[nan],[nan],Canada
BHS2 Data Center,"50 Rue de l'Aluminerie, Beauharnois, QC J6N 0C2, Canada",/megaport-cologix-to1,"Megaport Cologix TO1 Data Center is located at 151 Front Street West, Toronto, ON, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 98 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 877-857-4410,Inactive,Inactive,Inactive,Active,0 colocation products,223.7 miles to nearest airport,,,,[nan],[nan],Canada
TR7 Toronto IBX Data Center,"1895 Williams Parkway, Brampton, ON, Canada",/microsoft-azure-canada-east-quebec-city,"Microsoft Azure Canada East-Quebec City is located at Québec, QC, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 4 data center locations within 50 miles of this facility. Certifications for this location include ISO 22301, ISO 27001, ISO 9001, PCI DSS, SOC 1, SOC 2, SOC 3.",+1 833-538-1100,Inactive,Inactive,Active,Active,0 colocation products,307.58 miles to nearest airport,,,,"['ISO 22301', 'ISO 27001', 'ISO 9001', 'PCI DSS', 'SOC 1', 'SOC 2', 'SOC 3']","['ISO 22301 is the international standard for Business Continuity Management (BCM). It provides a practical framework for setting up and managing an effective business continuity management system.', ""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'ISO 9001 sets out the criteria for a quality management system. This standard is based on a number of quality management principles including a strong customer focus, the motivation and implication of top management, the process approach and continual improvement.', 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""System and Organization Controls 1, or SOC 1, aims to control objectives within a SOC 1 process area and documents internal controls relevant to an audit of a user entity's financial statements."", 'SOC 2 is an auditing procedure that ensures your service providers securely manage your data to protect the interests of your organization and the privacy of its clients.', ""A report that outlines information related to a service organization's internal controls for security, availability, processing integrity, confidentiality and privacy.""]",Canada
TR6 Toronto IBX Data Center,"30 Bramtree Court, Brampton, Ontario L6S 5Z7, Canada",/megaport-cologix-montreal3,"Megaport Cologix Montreal3 Data Center is located at 1250 René-Lévesque Boulevard West, Montreal, Quebec H3B 4W8, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 50 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 877-857-4410,Inactive,Inactive,Inactive,Active,0 colocation products,251.04 miles to nearest airport,,,,[nan],[nan],Canada
TR5 Toronto IBX Data Center,"8100 Warden Avenue, Markham, Ontario L6G 1B4, Canada",/stack-infrastructure-tor01-toronto,"Stack Infrastructure TOR01 Toronto Data Center is located at Toronto, ON, Canada. The data center is 158000 sqft. The gross colocation space is not available for this data center. It has access to 8.0 MW of power. We found 98 data center locations within 50 miles of this facility. Certifications for this location include ISO 9001, PCI DSS, SSAE 18.",+1 844-370-2500,Inactive,Inactive,Inactive,Inactive,0 colocation products,224.32 miles to nearest airport,158000 sqft total space,,8.0 MW total power,"['ISO 9001', 'PCI DSS', 'SSAE 18']","['ISO 9001 sets out the criteria for a quality management system. This standard is based on a number of quality management principles including a strong customer focus, the motivation and implication of top management, the process approach and continual improvement.', 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', 'SSAE 18 is a series of enhancements aimed to increase the usefulness and quality of SOC reports, now, superseding SSAE 16, and, obviously the relic of audit reports, SAS 70.']",Canada
Toronto YYZ11 Data Center,"1 Century Place, Vaughan, Woodbridge, Vaughan, ON L4L 8R2, Canada",/cologix-van2-vancouver,"Cologix VAN2 Vancouver Data Center is located at 1050 West Pender Street, Vancouver, BC, Canada. The data center is 15000 sqft. The gross colocation space is not available for this data center. It has access to 2.0 MW of power. We found 21 data center locations within 50 miles of this facility. Certifications for this location include HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SSAE 16 Type 2.",+1 833-544-2200,Active,Inactive,Active,Active,0 colocation products,132.36 miles to nearest airport,15000 sqft total space,,2.0 MW total power,"['HIPAA', 'ISO 27001', 'PCI DSS', 'SOC 1 Type 2', 'SOC 2 Type 2', 'SSAE 16 Type 2']","[""The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is a federal law that required the creation of national standards to protect sensitive patient health information from being disclosed without the patient's consent or knowledge."", ""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""Report on the fairness of the presentation of management's description of the service organization's system and the suitability of the design and operating effectiveness of the controls to achieve the related control objectives included in the description throughout a specified period."", ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time."", 'The SSAE 16 audit will result in a Service Organization Control (SOC) 2 report.']",Canada
YYZ2-A Toronto Data Center,"4175 14th Ave, Markham, ON L3R 5R5, Canada",/cologix-mtl10-h-longueuil,"Cologix MTL10-H Longueuil Data Center is located at 530 Rue Bériault, Longueuil, QC, Canada. The data center is 180000 sqft. There is a total of 70000 sqft in raised floor space for colocation. It has access to 20.0 MW of power. We found 51 data center locations within 50 miles of this facility. Certifications for this location include HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SSAE 18.",+1 833-544-2200,Inactive,Active,Active,Active,0 colocation products,252.9 miles to nearest airport,180000 sqft total space,70000 sqft colocation space,20.0 MW total power,"['HIPAA', 'ISO 27001', 'PCI DSS', 'SOC 1 Type 2', 'SOC 2 Type 2', 'SSAE 18']","[""The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is a federal law that required the creation of national standards to protect sensitive patient health information from being disclosed without the patient's consent or knowledge."", ""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""Report on the fairness of the presentation of management's description of the service organization's system and the suitability of the design and operating effectiveness of the controls to achieve the related control objectives included in the description throughout a specified period."", ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time."", 'SSAE 18 is a series of enhancements aimed to increase the usefulness and quality of SOC reports, now, superseding SSAE 16, and, obviously the relic of audit reports, SAS 70.']",Canada
SJ1 Saint John IBX Data Center,"7 McIntosh Street, Saint John, NB E2K 5B7, Canada",/qscale-qscale,"Qscale Qscale Data Center is located at Lévis, Québec G7A 5M9, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 4 data center locations within 50 miles of this facility. Certifications for this location include ISO 27001.",+1 833-456-7700,Inactive,Active,Inactive,Inactive,0 colocation products,8.57 miles to nearest airport,,,,['ISO 27001'],"[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS).""]",Canada
Markham Data Centre,"Markham, ON, Canada",/cologix-mtl7-montreal,"Cologix MTL7 Montreal Data Center is located at 1155 Boulevard Robert-Bourassa, Montreal, QC, Canada. The data center is 26000 sqft. There is a total of 26000 sqft in raised floor space for colocation. No power information has been offered for this location. We found 50 data center locations within 50 miles of this facility. Certifications for this location include HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2.",+1 833-544-2200,Inactive,Active,Active,Active,0 colocation products,251.04 miles to nearest airport,26000 sqft total space,26000 sqft colocation space,,"['HIPAA', 'ISO 27001', 'PCI DSS', 'SOC 1 Type 2', 'SOC 2 Type 2']","[""The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is a federal law that required the creation of national standards to protect sensitive patient health information from being disclosed without the patient's consent or knowledge."", ""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""Report on the fairness of the presentation of management's description of the service organization's system and the suitability of the design and operating effectiveness of the controls to achieve the related control objectives included in the description throughout a specified period."", ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
OT1 Ottawa IBX Data Center,"200 Avenue Lépine, Gatineau, QC J8L 0B3, Canada",/cologix-van4-vancouver,"Cologix VAN4 Vancouver Data Center is located at 175 West Cordova Street, Vancouver, BC, Canada. The data center is 68000 sqft. The gross colocation space is not available for this data center. It has access to 4.0 MW of power. We found 21 data center locations within 50 miles of this facility. Certifications for this location include ISO 27001.",+1 833-544-2200,Inactive,Active,Inactive,Active,0 colocation products,131.74 miles to nearest airport,68000 sqft total space,,4.0 MW total power,['ISO 27001'],"[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS).""]",Canada
CL1 Calgary IBX Data Center,"315 8th Avenue Southwest 4th floor suite 401, Calgary, AB T2P 4K1, Canada",/hivelocity-yxx1-vancouver-canada,"Hivelocity YXX1 Vancouver Canada is located at West Hastings Street, Vancouver, BC V6B 4N5, Canada. The gross building size for this location has not been provided. The gross colocation space is not available for this data center. No power information has been offered for this location. We found 21 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 877-848-4033,Inactive,Active,Inactive,Inactive,0 colocation products,131.74 miles to nearest airport,,,,[nan],[nan],Canada
Toronto YYZ12 Data Center,"151 Front St, Toronto, ON M5J 2N1, Canada",/coloware-ytz-1-toronto,"Coloware YTZ-1 Toronto Data Center is located at 151 Front Street West, Toronto, ON, Canada. The data center is 10000 sqft. There is a total of 10000 sqft in raised floor space for colocation. It has access to 1.0 MW of power. We found 98 data center locations within 50 miles of this facility. Certifications for this location include ISO 27001, SOC 1 Type 2, SOC 2 Type 2.",+1 844-823-6300,Active,Inactive,Inactive,Active,0 colocation products,2.0 miles to nearest airport,10000 sqft total space,10000 sqft colocation space,1.0 MW total power,"['ISO 27001', 'SOC 1 Type 2', 'SOC 2 Type 2']","[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", ""Report on the fairness of the presentation of management's description of the service organization's system and the suitability of the design and operating effectiveness of the controls to achieve the related control objectives included in the description throughout a specified period."", ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
YYZ1-A Toronto Data Center,"Centersquare Toronto Data Center (Mississauga), 6800 Millcreek Drive, Mississauga, ON L5N 4J9, Canada",/vantage-qc4-montreal-ii,"Vantage Data Centers QC4 Montreal II Data Center is located at 2800 Trans-Canada Highway, Pointe-Claire, QC, Canada. The data center is 320000 sqft. The gross colocation space is not available for this data center. It has access to 48.0 MW of power. We found 50 data center locations within 50 miles of this facility. No certifications are specified for this location.",+1 866-445-9110,Inactive,Inactive,Inactive,Active,0 colocation products,255.39 miles to nearest airport,320000 sqft total space,,48.0 MW total power,[nan],[nan],Canada
TR4 Toronto IBX Data Center,"100 Wellington Street West, Toronto, Ontario M5K 1J3, Canada",/cologix-tor4-toronto,"Cologix TOR4 Toronto Data Center is located at 105 Clegg Rd, Markham, ON, Canada. The data center is 50000 sqft. The gross colocation space is not available for this data center. It has access to 15.0 MW of power. We found 96 data center locations within 50 miles of this facility. Certifications for this location include HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2.",+1 833-544-2200,Inactive,Active,Inactive,Active,0 colocation products,231.78 miles to nearest airport,50000 sqft total space,,15.0 MW total power,"['HIPAA', 'ISO 27001', 'PCI DSS', 'SOC 1 Type 2', 'SOC 2 Type 2']","[""The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is a federal law that required the creation of national standards to protect sensitive patient health information from being disclosed without the patient's consent or knowledge."", ""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""Report on the fairness of the presentation of management's description of the service organization's system and the suitability of the design and operating effectiveness of the controls to achieve the related control objectives included in the description throughout a specified period."", ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
Equinix MT2,"3500 Rue F.-X.-Tessier, Vaudreuil-Dorion, QC J7V 5V5, Canada",/vantage-qc2-quebec-city,"Vantage Data Centers QC2 Quebec City Data Center is located at 2675 Boulevard du Parc Technologique, Québec City, QC, Canada. The data center is 90000 sqft. There is a total of 35000 sqft in raised floor space for colocation. It has access to 54.0 MW of power. We found 4 data center locations within 50 miles of this facility. Certifications for this location include ISO 27001, PCI DSS, SOC 2.",+1 866-445-9110,Inactive,Inactive,Inactive,Active,0 colocation products,306.34 miles to nearest airport,90000 sqft total space,35000 sqft colocation space,54.0 MW total power,"['ISO 27001', 'PCI DSS', 'SOC 2']","[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', 'SOC 2 is an auditing procedure that ensures your service providers securely manage your data to protect the interests of your organization and the privacy of its clients.']",Canada
Mississauga Data Center,"2920 Matheson Blvd E, Mississauga, ON, Canada",/cologix-mtl1-montreal,"Cologix MTL1 Montreal Data Center is located at 625 Boulevard René-Lévesque Ouest, Montreal, QC, Canada. The data center is 4421 sqft. There is a total of 4421 sqft in raised floor space for colocation. No power information has been offered for this location. We found 50 data center locations within 50 miles of this facility. Certifications for this location include PCI DSS.",+1 833-544-2200,Inactive,Active,Active,Active,0 colocation products,251.04 miles to nearest airport,4421 sqft total space,4421 sqft colocation space,,['PCI DSS'],['The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.'],Canada
Toronto Data Center,"245 Consumers Road, Toronto, North York, ON, Canada",/cologix-mtl8-h-montreal,"Cologix MTL8-H Montreal Data Center is located at 7350 Rue Frederick Banting, Saint-Laurent, QC, Canada. The data center is 325000 sqft. There is a total of 70000 sqft in raised floor space for colocation. It has access to 20.0 MW of power. We found 50 data center locations within 50 miles of this facility. Certifications for this location include LEED, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SSAE 18.",+1 833-544-2200,Inactive,Active,Active,Active,0 colocation products,254.77 miles to nearest airport,325000 sqft total space,70000 sqft colocation space,20.0 MW total power,"['LEED', 'PCI DSS', 'SOC 1 Type 2', 'SOC 2 Type 2', 'SSAE 18']","[""A LEED credential denotes proficiency in today's sustainable design, construction and operations standards."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""Report on the fairness of the presentation of management's description of the service organization's system and the suitability of the design and operating effectiveness of the controls to achieve the related control objectives included in the description throughout a specified period."", ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time."", 'SSAE 18 is a series of enhancements aimed to increase the usefulness and quality of SOC reports, now, superseding SSAE 16, and, obviously the relic of audit reports, SAS 70.']",Canada
Cologix TOR2 Data Center,"905 King Street West, Toronto, ON, Canada",/estruxture-mtl-2-montreal,"eStruxture MTL-2 Montreal Data Center is located at 7001 Rue Saint-Jacques, Montreal, QC H4B 3A2, Canada. The data center is 187000 sqft. The gross colocation space is not available for this data center. It has access to 30.0 MW of power. We found 50 data center locations within 50 miles of this facility. Certifications for this location include SOC 2 Type 2.",+1 844-366-1200,Inactive,Inactive,Active,Active,0 colocation products,250.42 miles to nearest airport,187000 sqft total space,,30.0 MW total power,['SOC 2 Type 2'],"[""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
Cologix Vancouver BC (van2) Data Center,"1050 West Pender Street, Vancouver, BC, Canada",/estruxture-cal-2-calgary,"eStruxture CAL-2 Calgary Data Center is located at 149 High Plains Place, Alberta, Canada. The data center is 93000 sqft. The gross colocation space is not available for this data center. It has access to 20.0 MW of power. We found 8 data center locations within 50 miles of this facility. Certifications for this location include ISO 27001, PCI DSS, SOC 2 Type 2.",+1 844-366-1200,Inactive,Inactive,Active,Active,0 colocation products,295.16 miles to nearest airport,93000 sqft total space,,20.0 MW total power,"['ISO 27001', 'PCI DSS', 'SOC 2 Type 2']","[""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time.""]",Canada
Beanfield Basement MMR - TOR1 Data Center,"151 Front St W, Toronto, ON, Canada",/cologix-mtl5-montreal,"Cologix MTL5 Montreal Data Center is located at 2351 Boulevard Alfred Nobel, Montréal, QC, Canada. The data center is 5000 sqft. There is a total of 5000 sqft in raised floor space for colocation. No power information has been offered for this location. We found 50 data center locations within 50 miles of this facility. Certifications for this location include PCI DSS.",+1 833-544-2200,Inactive,Active,Active,Active,0 colocation products,254.77 miles to nearest airport,5000 sqft total space,5000 sqft colocation space,,['PCI DSS'],['The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.'],Canada
4Degres Colocation - Quebec City Data Center,"2675 Boulevard du Parc Technologique, Québec City, QC, Canada",/cologix-mtl9-h-quebec,"Cologix MTL9-H Quebec Data Center is located at 2525 Rue Canadien, Drummondville, QC, Canada. The data center is 120000 sqft. There is a total of 50000 sqft in raised floor space for colocation. It has access to 10.0 MW of power. We found 3 data center locations within 50 miles of this facility. Certifications for this location include HIPAA, ISO 27001, PCI DSS, SOC 1 Type 2, SOC 2 Type 2, SSAE 18.",+1 833-544-2200,Inactive,Active,Active,Active,0 colocation products,254.15 miles to nearest airport,120000 sqft total space,50000 sqft colocation space,10.0 MW total power,"['HIPAA', 'ISO 27001', 'PCI DSS', 'SOC 1 Type 2', 'SOC 2 Type 2', 'SSAE 18']","[""The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is a federal law that required the creation of national standards to protect sensitive patient health information from being disclosed without the patient's consent or knowledge."", ""ISO/IEC 27001 is the world's best-known standard for information security management systems (ISMS)."", 'The Payment Card Industry Data Security Standard (PCI DSS) is an information security standard used to handle credit cards from major card brands.', ""Report on the fairness of the presentation of management's description of the service organization's system and the suitability of the design and operating effectiveness of the controls to achieve the related control objectives included in the description throughout a specified period."", ""SOC 2 Type 2 compliance evaluates an organization's cybersecurity controls over a period of time."", 'SSAE 18 is a series of enhancements aimed to increase the usefulness and quality of SOC reports, now, superseding SSAE 16, and, obviously the relic of audit reports, SAS 70.']",Canada
